node_id,run_time,last_obs_time,horizon_step,horizon_minutes,forecast_time,pred,current,delta,expected_mae_node,confidence,pred_low,pred_high
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,60.719784,58.875,1.8447838,5.1335135,medium,55.58627,65.853294
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,61.03186,58.875,2.1568604,5.1335135,medium,55.898346,66.165375
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,61.193626,58.875,2.3186264,5.1335135,medium,56.060112,66.32714
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,63.52228,63.375,0.14728165,3.6973479,high,59.824932,67.21963
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,63.202896,63.375,-0.17210388,3.6973479,high,59.505547,66.900246
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,63.4243,63.375,0.049301147,3.6973479,high,59.72695,67.12165
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,63.587482,63.375,0.21248245,3.6973479,high,59.890133,67.28483
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,63.443718,63.375,0.06871796,3.6973479,high,59.74637,67.14107
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,63.62732,63.375,0.25231934,3.6973479,high,59.92997,67.32467
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,63.680916,63.375,0.30591583,3.6973479,high,59.983566,67.378265
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,63.647896,63.375,0.2728958,3.6973479,high,59.950546,67.345245
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,63.797356,63.375,0.42235565,3.6973479,high,60.100006,67.494705
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,63.94005,63.375,0.5650482,3.6973479,high,60.2427,67.6374
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,63.87503,63.375,0.5000305,3.6973479,high,60.17768,67.57238
7,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,64.024506,63.375,0.6495056,3.6973479,high,60.327156,67.721855
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,62.455723,62.57143,-0.1157074,5.5331388,medium,56.922585,67.98886
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,62.352375,62.57143,-0.21905518,5.5331388,medium,56.819237,67.88551
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,62.523735,62.57143,-0.04769516,5.5331388,medium,56.990597,68.05688
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,62.40161,62.57143,-0.16981888,5.5331388,medium,56.868473,67.93475
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,62.68155,62.57143,0.110118866,5.5331388,medium,57.14841,68.21469
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,62.374435,62.57143,-0.19699478,5.5331388,medium,56.841297,67.90758
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,62.584232,62.57143,0.012802124,5.5331388,medium,57.051094,68.11737
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,62.412518,62.57143,-0.15891266,5.5331388,medium,56.87938,67.945656
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,62.246906,62.57143,-0.32452393,5.5331388,medium,56.713768,67.780045
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,62.352203,62.57143,-0.21922684,5.5331388,medium,56.819065,67.885345
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,62.36049,62.57143,-0.21094131,5.5331388,medium,56.82735,67.89363
8,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,62.312065,62.57143,-0.25936508,5.5331388,medium,56.778927,67.84521
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,66.83697,66.85714,-0.02017212,5.667743,medium,61.169224,72.50471
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,67.00156,66.85714,0.14441681,5.667743,medium,61.333813,72.6693
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,66.68011,66.85714,-0.17703247,5.667743,medium,61.012363,72.34785
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,66.65836,66.85714,-0.19877625,5.667743,medium,60.99062,72.3261
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,66.87459,66.85714,0.017448425,5.667743,medium,61.206844,72.54233
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,66.76821,66.85714,-0.08892822,5.667743,medium,61.100468,72.43595
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,66.97605,66.85714,0.11891174,5.667743,medium,61.308308,72.64379
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,66.90996,66.85714,0.0528183,5.667743,medium,61.242214,72.5777
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,66.983826,66.85714,0.1266861,5.667743,medium,61.316082,72.651566
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,66.70155,66.85714,-0.15558624,5.667743,medium,61.03381,72.36929
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,66.6688,66.85714,-0.18833923,5.667743,medium,61.001057,72.33654
9,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,66.73108,66.85714,-0.12606049,5.667743,medium,61.063335,72.39882
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,59.654484,59.875,-0.2205162,4.110711,high,55.543774,63.765194
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,60.182434,59.875,0.30743408,4.110711,high,56.071724,64.293144
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,59.78255,59.875,-0.09244919,4.110711,high,55.67184,63.89326
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,60.032337,59.875,0.15733719,4.110711,high,55.921627,64.14305
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,59.795464,59.875,-0.07953644,4.110711,high,55.684753,63.906174
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,60.028957,59.875,0.15395737,4.110711,high,55.918247,64.13967
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,60.147655,59.875,0.2726555,4.110711,high,56.036945,64.25837
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,60.037804,59.875,0.16280365,4.110711,high,55.927094,64.14851
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,60.06281,59.875,0.18780899,4.110711,high,55.9521,64.17352
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,59.993073,59.875,0.11807251,4.110711,high,55.882362,64.10378
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,60.098747,59.875,0.22374725,4.110711,high,55.988037,64.20946
10,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,60.024418,59.875,0.14941788,4.110711,high,55.913708,64.13513
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,62.24096,62.375,-0.13404083,4.850789,medium,57.39017,67.09175
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,62.27322,62.375,-0.10177994,4.850789,medium,57.422432,67.12401
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,62.12644,62.375,-0.24856186,4.850789,medium,57.27565,66.97723
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,62.23861,62.375,-0.13639069,4.850789,medium,57.38782,67.0894
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,62.479637,62.375,0.104637146,4.850789,medium,57.62885,67.33043
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,62.493053,62.375,0.11805344,4.850789,medium,57.642265,67.34384
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,62.467964,62.375,0.09296417,4.850789,medium,57.617176,67.318756
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,62.359394,62.375,-0.0156059265,4.850789,medium,57.508606,67.21018
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,62.336582,62.375,-0.038417816,4.850789,medium,57.485794,67.18737
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,62.541595,62.375,0.16659546,4.850789,medium,57.690807,67.39239
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,62.378426,62.375,0.0034255981,4.850789,medium,57.527637,67.22922
11,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,62.546432,62.375,0.1714325,4.850789,medium,57.695644,67.397224
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,46.402493,46.125,0.27749252,5.970433,low,40.43206,52.372925
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,46.505825,46.125,0.38082504,5.970433,low,40.535393,52.476257
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,47.0493,46.125,0.92430115,5.970433,low,41.07887,53.019733
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,46.755585,46.125,0.6305847,5.970433,low,40.785152,52.726017
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,47.179043,46.125,1.0540428,5.970433,low,41.20861,53.149475
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,47.289265,46.125,1.1642647,5.970433,low,41.318832,53.259697
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,47.931217,46.125,1.8062172,5.970433,low,41.960785,53.90165
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,47.49231,46.125,1.3673096,5.970433,low,41.521877,53.46274
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,48.462746,46.125,2.3377457,5.970433,low,42.492313,54.433178
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,48.755737,46.125,2.6307373,5.970433,low,42.785305,54.72617
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,48.537827,46.125,2.4128265,5.970433,low,42.567394,54.50826
12,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,49.159336,46.125,3.034336,5.970433,low,43.188904,55.12977
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,67.15821,67.25,-0.091789246,5.257215,medium,61.900997,72.41543
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,67.046425,67.25,-0.20357513,5.257215,medium,61.78921,72.30364
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,67.21907,67.25,-0.030929565,5.257215,medium,61.961857,72.47629
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,67.27675,67.25,0.026748657,5.257215,medium,62.019535,72.533966
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,67.32618,67.25,0.076179504,5.257215,medium,62.068966,72.5834
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,67.17288,67.25,-0.07711792,5.257215,medium,61.91567,72.4301
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,67.19328,67.25,-0.05671692,5.257215,medium,61.93607,72.4505
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,67.28339,67.25,0.03338623,5.257215,medium,62.026173,72.5406
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,67.26995,67.25,0.019950867,5.257215,medium,62.012737,72.52717
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,67.24122,67.25,-0.008781433,5.257215,medium,61.984005,72.498436
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,67.297485,67.25,0.04748535,5.257215,medium,62.04027,72.5547
13,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,67.3125,67.25,0.0625,5.257215,medium,62.055286,72.56972
14,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,62.82119,62.75,0.07118988,6.593052,low,56.228138,69.414246
